"SCORE Banks - List of SCORE banks with associated services (FIN, FileAct RealTime, FileAct Store""n""Forward)",,,,,,,
UPDATED SEP2022,,,,,,,
The information provided here is for guidance purposes only and may not be 100% accurate. SWIFT shall not be responsible for any loss whatsoever sustained by any person or business that relies on this information,,,,,,,
,,,,,2231,853,784
GOLDJPJX,"GOLDMAN SACHS JAPAN CO., LTD.",JAPAN,GOLDJPJX,GOLDMAN SACHS AND CO. LLC,YES,,
GOLDUS33,GOLDMAN SACHS AND CO. LLC,UNITED STATES,GOLDUS33,GOLDMAN SACHS AND CO. LLC,YES,,
GRKBCH22,GRAUBUENDNER KANTONALBANK,SWITZERLAND,GRKBCH22,GRAUBUENDNER KANTONALBANK,YES,,YES
GSCMUS33,GOLDMAN SACHS BANK USA,UNITED STATES,GSCMUS33,GOLDMAN SACHS AND CO. LLC,YES,,
GSCRJPJT,GOLDMAN SACHS BANK USA TOKYO BRANCH,JAPAN,GSCRJPJT,GOLDMAN SACHS AND CO. LLC,YES,YES,YES
GSCRUS33,GOLDMAN SACHS BANK USA,UNITED STATES,GSCMUS33,GOLDMAN SACHS AND CO. LLC,YES,YES,YES
GSILGB2X,GOLDMAN SACHS INTERNATIONAL,UNITED KINGDOM,GSILGB2X,GOLDMAN SACHS AND CO. LLC,YES,,
GSLDGB2L,GOLDMAN SACHS BANK USA LONDON BRANCH,UNITED KINGDOM,GSBUGB2L,GOLDMAN SACHS AND CO. LLC,YES,YES,YES
GTBIGHAC,GUARANTY TRUST BANK (GHANA) LTD,GHANA,GTBIGHAC,GUARANTY TRUST BANK PLC,YES,,
GTBINGLA,GUARANTY TRUST BANK PLC,NIGERIA,GTBINGLA,GUARANTY TRUST BANK PLC,YES,YES,YES
GTCOGTGC,BANCO G AND T CONTINENTAL. S.A.,GUATEMALA,GTCOGTGC,BANCO G AND T CONTINENTAL. S.A.,YES,,
GUAYECEG,BANCO GUAYAQUIL S.A.,ECUADOR,GUAYECEG,BANCO GUAYAQUIL S.A.,YES,,
GULBKWKW,"GULF BANK, K.S.C.P.",KUWAIT,GULBKWKW,"GULF BANK, K.S.C.P.",YES,YES,
GULFAEAA,GULF INTERNATIONAL BANK B.S.C.,UNITED ARAB EMIRATES,GULFAEAA,GULF INTERNATIONAL BANK B.S.C.,YES,YES,YES
GULFBHBM,GULF INTERNATIONAL BANK B.S.C.,BAHRAIN,GULFBHBM,GULF INTERNATIONAL BANK B.S.C.,YES,YES,YES
GULFGB2L,GULF INTERNATIONAL BANK B.S.C.,UNITED KINGDOM,GULFGB2L,GULF INTERNATIONAL BANK B.S.C.,YES,,
GULFSARI,"GULF INTERNATIONAL BANK (GIB) - SAUDI ARABIA, S.C.J.S.C.",SAUDI ARABIA,GULFSARI,GULF INTERNATIONAL BANK B.S.C.,YES,YES,YES
GZCBCN22,BANK OF GUANGZHOU,CHINA,GZCBCN22,BANK OF GUANGZHOU,YES,,
HAABHR22,ADDIKO BANK D.D.,CROATIA,HAABHR22,ADDIKO BANK AG,YES,,
HAABRSBG,ADDIKO BANK A.D. BEOGRAD,REPUBLIC OF SERBIA,HAABRSBG,ADDIKO BANK AG,YES,,
HABAEE2X,SWEDBANK AS,ESTONIA,HABAEE2X,SWEDBANK AB,YES,,
HABALT22,SWEDBANK AB,LITHUANIA,HABALT22,SWEDBANK AB,YES,,
HABALV22,SWEDBANK AS Settlements departm.,LATVIA,HABALV22,SWEDBANK AB,YES,,
HABBPKKA,HABIB BANK LIMITED HEAD OFFICE,PAKISTAN,HABBPKKA,HABIB BANK LIMITED HEAD OFFICE,YES,,
HAKRSRPA,HAKRINBANK N.V.,SURINAME,HAKRSRPA,HAKRINBANK N.V.,YES,,
HAMBGGSP,SG KLEINWORT HAMBROS BANK (CI) LIMITED - GUERNSEY BRANCH,GUERNSEY C.I.,HAMBGGSP,SOCIETE GENERALE,YES,,
HAMBJESX,SG KLEINWORT HAMBROS BANK (CI) LIMITED,JERSEY C.I.,HAMBJESX,SOCIETE GENERALE,YES,,
HANDDKKK,"HANDELSBANKEN, FILIAL AF SVENSKA HANDELSBANKEN AB (PUBL) SVERIGE",DENMARK,HANDDKKK,SVENSKA HANDELSBANKEN AB,YES,,
HANDFIHH,SVENSKA HANDELSBANKEN AB (PUBL) FILIALVERKSAMHETEN I FINLAND,FINLAND,HANDFIHH,SVENSKA HANDELSBANKEN AB,YES,,
HANDFRPP,SVENSKA HANDELSBANKEN AB,FRANCE,HANDFRPP,SVENSKA HANDELSBANKEN AB,YES,,
HANDGB22,HANDELSBANKEN PLC,UNITED KINGDOM,HANDGB22,SVENSKA HANDELSBANKEN AB,YES,,
HANDLULB,SVENSKA HANDELSBANKEN AB (PUBL),LUXEMBOURG,HANDLULB,SVENSKA HANDELSBANKEN AB,YES,,
HANDNOKK,HANDELSBANKEN,NORWAY,HANDNOKK,SVENSKA HANDELSBANKEN AB,YES,,
HANDSESS,SVENSKA HANDELSBANKEN AB,SWEDEN,HANDSESS,SVENSKA HANDELSBANKEN AB,YES,YES,YES
HANDUS33,SVENSKA HANDELSBANKEN AB,UNITED STATES,HANDUS33,SVENSKA HANDELSBANKEN AB,YES,,
HASEHKHH,"HANG SENG BANK LIMITED Cables, EDP Operations",HONG KONG,HASEHKHH,HSBC BANK PLC,YES,YES,YES
HASPDEHH,HAMBURGER SPARKASSE AG,GERMANY,HASPDEHH,HAMBURGER SPARKASSE AG,YES,,
HATRUS44,BMO HARRIS BANK N.A.,UNITED STATES,HATRUS44,BANK OF MONTREAL,YES,YES,YES
HBBAMEPG,HIPOTEKARNA BANKA AD,MONTENEGRO,HBBAMEPG,HIPOTEKARNA BANKA AD,YES,YES,YES
HBLILKLX,HATTON NATIONAL BANK PLC,SRI LANKA,HBLILKLX,HATTON NATIONAL BANK PLC,YES,,
HBMBMYKL,HSBC BANK MALAYSIA BERHAD,MALAYSIA,HBMBMYKL,HSBC BANK PLC,YES,YES,YES
HBPEPEPL,BANCO GNB PERU SA,PERU,HBPEPEPL,BANCO GNB PERU SA,YES,,
HBUKGB2A,HSBC BANK PLC,UNITED KINGDOM,MIDLGB22,HSBC BANK PLC,YES,,
HBUKGB4B,HSBC BANK PLC,UNITED KINGDOM,MIDLGB22,HSBC BANK PLC,YES,YES,YES
HDFCINBB,HDFC BANK LTD,INDIA,HDFCINBB,HDFC BANK LTD,YES,YES,
HEBACY2N,HELLENIC BANK PUBLIC COMPANY LTD,CYPRUS,HEBACY2N,HELLENIC BANK PUBLIC COMPANY LTD,YES,YES,
HEISDE66,KREISSPARKASSE HEILBRONN,GERMANY,HEISDE66,KREISSPARKASSE HEILBRONN,YES,,
HELADEFF,LANDESBANK HESSEN-THUERINGEN GZ,GERMANY,HELADEFF,LANDESBANK HESSEN-THUERINGEN GZ,YES,YES,YES
HELAGB2L,LANDESBANK HESSEN-THUERINGEN GIROZENTRALE,UNITED KINGDOM,HELAGB2L,LANDESBANK HESSEN-THUERINGEN GZ,YES,,
HELSFIHH,AKTIA BANK P.L.C.,FINLAND,HELSFIHH,AKTIA BANK P.L.C.,YES,,
HIROJPJT,THE HIROSHIMA BANK LIMITED,JAPAN,HIROJPJT,THE HIROSHIMA BANK LIMITED,YES,,
HISFCNBQ,"HISENSE FINANCE CO., LTD",CHINA,HISFCNBQ,"HISENSE FINANCE CO., LTD",YES,,
HKBAAU2S,HSBC BANK AUSTRALIA LIMITED,AUSTRALIA,HKBAAU2S,HSBC BANK PLC,YES,YES,YES
HKBCCATT,HSBC BANK CANADA,CANADA,HKBCCATT,HSBC BANK PLC,YES,YES,YES
HLBBMYKL,HONG LEONG BANK BERHAD,MALAYSIA,HLBBMYKL,HONG LEONG BANK BERHAD,YES,,
HMABMYKL,HSBC AMANAH MALAYSIA BERHAD,MALAYSIA,HMABMYKL,HSBC BANK PLC,YES,,
HNADIE2D,COGENT INVESTMENT OPERATIONS IRELAND LTD,IRELAND,HNADIE2D,BNP PARIBAS,YES,,
HNBKTWTP,HUA NAN COMMERCIAL BANK LIMITED,"TAIWAN, REPUBLIC OF CHINA",HNBKTWTP,HUA NAN COMMERCIAL BANK LIMITED,YES,,
HNBNCNBJ,KEB HANA BANK (CHINA) COMPANY LIMITED,CHINA,HNBNCNBJ,KEB HANA BANK,YES,YES,YES
HPBZHR2X,HRVATSKA POSTANSKA BANKA D.D,CROATIA,HPBZHR2X,HRVATSKA POSTANSKA BANKA D.D,,YES,
HRPKGB2L,HIDDEN ROAD PARTNERS CIV UK LTD,UNITED KINGDOM,HRPKGB2L,HIDDEN ROAD PARTNERS CIV US LLC,YES,,
HRPSUS33,HIDDEN ROAD PARTNERS CIV US LLC,UNITED STATES,HRPSUS33,HIDDEN ROAD PARTNERS CIV US LLC,YES,,
HSBCAU2S,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,AUSTRALIA,HSBCAU2S,HSBC BANK PLC,YES,,
HSBCBDDH,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,BANGLADESH,HSBCBDDH,HSBC BANK PLC,YES,YES,YES
HSBCBEBB,HSBC CONTINENTAL EUROPE,BELGIUM,HSBCBEBB,HSBC BANK PLC,YES,YES,YES
HSBCCHZZ,"HSBC BANK PLC, LONDON, ZWEIGNIEDERLASSUNG ZURICH",SWITZERLAND,HSBCCHZZ,HSBC BANK PLC,YES,YES,YES
HSBCCNSH,HSBC BANK (CHINA) COMPANY LIMITED,CHINA,HSBCCNSH,HSBC BANK PLC,YES,YES,YES
HSBCDZAL,HSBC ALGERIA,ALGERIA,HSBCDZAL,HSBC BANK PLC,YES,YES,
HSBCHKHH,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,HONG KONG,HSBCHKHH,HSBC BANK PLC,YES,YES,YES
HSBCHKHI,HSBC INTERNATIONAL TRUSTEE LTD,HONG KONG,HSBCHKHI,HSBC BANK PLC,YES,,
HSBCIDJA,PT BANK HSBC INDONESIA,INDONESIA,HSBCIDJA,HSBC BANK PLC,YES,YES,YES
HSBCIE2D,HSBC CONTINENTAL EUROPE,IRELAND,HSBCIE2D,HSBC BANK PLC,YES,YES,YES
HSBCILIT,HSBC BANK PLC,ISRAEL,HSBCILIT,HSBC BANK PLC,YES,YES,YES
HSBCINAA,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,INDIA,HSBCINBB,HSBC BANK PLC,YES,,
HSBCINBB,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,INDIA,HSBCINBB,HSBC BANK PLC,YES,YES,YES
HSBCJPJT,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,JAPAN,HSBCJPJT,HSBC BANK PLC,YES,YES,YES
HSBCKRSE,"THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, SEOUL BRANCH","KOREA, REPUBLIC OF",HSBCKRSE,HSBC BANK PLC,YES,YES,YES
HSBCLKLX,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,SRI LANKA,HSBCLKLX,HSBC BANK PLC,YES,YES,YES
HSBCLULL,HSBC CONTINENTAL EUROPE,LUXEMBOURG,HSBCLULL,HSBC BANK PLC,YES,YES,
HSBCMOMX,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,MACAO,HSBCMOMX,HSBC BANK PLC,YES,YES,YES
HSBCMUMU,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,MAURITIUS,HSBCMUMU,HSBC BANK PLC,YES,YES,YES
HSBCMYKA,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,MALAYSIA,HSBCMYKA,HSBC BANK PLC,YES,,
HSBCNL2A,HSBC CONTINENTAL EUROPE,NETHERLANDS,HSBCNL2A,HSBC BANK PLC,YES,YES,YES
HSBCNZ2A,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,NEW ZEALAND,HSBCNZ2A,HSBC BANK PLC,YES,YES,YES
HSBCPHMM,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD - PHILIPPINE BRANCH,PHILIPPINES,HSBCPHMM,HSBC BANK PLC,YES,YES,YES
HSBCPLPW,HSBC CONTINENTAL EUROPE (SPOLKA AKCYJNA) ODDZIAL W POLSCE,POLAND,HSBCPLPW,HSBC BANK PLC,YES,YES,
HSBCSGSG,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,SINGAPORE,HSBCSGSG,HSBC BANK PLC,YES,YES,YES
HSBCTHBK,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,THAILAND,HSBCTHBK,HSBC BANK PLC,YES,YES,YES
HSBCTRIX,HSBC BANK A.S.,TURKEY,HSBCTRIX,HSBC BANK PLC,YES,YES,YES
HSBCTWTP,HSBC BANK (TAIWAN) LIMITED,"TAIWAN, REPUBLIC OF CHINA",HSBCTWTP,HSBC BANK PLC,YES,YES,YES
HSBCVNVX,HSBC BANK (VIETNAM) LTD.,VIET NAM,HSBCVNVX,HSBC BANK PLC,YES,YES,YES
HSBCZAJJ,HSBC BANK PLC,SOUTH AFRICA,HSBCZAJJ,HSBC BANK PLC,YES,YES,YES
HSHNDEHH,HAMBURG COMMERCIAL BANK AG,GERMANY,HSHNDEHH,HAMBURG COMMERCIAL BANK AG,YES,,
HSTMMYKL,HSBC (MALAYSIA) TRUSTEE BERHAD,MALAYSIA,HSTMMYKL,HSBC BANK PLC,YES,,
HVBKAU2S,WOORI BANK,AUSTRALIA,HVBKAU2S,"WOORI BANK, SEOUL",YES,,
HVBKBDDH,"WOORI BANK, DHAKA",BANGLADESH,HVBKBDDH,"WOORI BANK, SEOUL",YES,,
HVBKBHBM,"WOORI BANK, MANAMA",BAHRAIN,HVBKBHBM,"WOORI BANK, SEOUL",YES,,
HVBKCNBJ,WOORI BANK (CHINA) LIMITED,CHINA,HVBKCNBJ,"WOORI BANK, SEOUL",YES,YES,YES
HVBKGB2L,"WOORI BANK, LONDON",UNITED KINGDOM,HVBKGB2L,"WOORI BANK, SEOUL",YES,,
HVBKHKHH,WOORI BANK,HONG KONG,HVBKHKHH,"WOORI BANK, SEOUL",YES,YES,YES
HVBKIDJA,PT.BANK WOORI SAUDARA INDONESIA 1906 TBK,INDONESIA,HVBKIDJA,"WOORI BANK, SEOUL",YES,,
HVBKIN5M,"WOORI BANK, CHENNAI BR.",INDIA,HVBKIN5M,"WOORI BANK, SEOUL",YES,YES,YES
HVBKJPJT,"WOORI BANK, TOKYO",JAPAN,HVBKJPJT,"WOORI BANK, SEOUL",YES,,
HVBKKRSE,"WOORI BANK, SEOUL","KOREA, REPUBLIC OF",HVBKKRSE,"WOORI BANK, SEOUL",YES,,
HVBKSGSG,"WOORI BANK, SINGAPORE",SINGAPORE,HVBKSGSG,"WOORI BANK, SEOUL",YES,,
HVBKUS33,"WOORI BANK, NEW YORK",UNITED STATES,HVBKUS33,"WOORI BANK, SEOUL",YES,,
HVBKUS3N,WOORI AMERICA BANK,UNITED STATES,HVBKUS3N,"WOORI BANK, SEOUL",YES,,
HVBKUS6L,"WOORI BANK, NEW YORK",UNITED STATES,HVBKUS33,"WOORI BANK, SEOUL",YES,,
HVBKVNVX,WOORI BANK VIETNAM LIMITED,VIET NAM,HVBKVNVX,"WOORI BANK, SEOUL",YES,YES,YES
HXBKCNBJ,HUA XIA BANK,CHINA,HXBKCNBJ,HUA XIA BANK,YES,,
HYPLCH22,HYPOTHEKARBANK LENZBURG AG,SWITZERLAND,HYPLCH22,HYPOTHEKARBANK LENZBURG AG,YES,,
HYPVAT2B,HYPO VORARLBERG BANK AG,AUSTRIA,HYPVAT2B,HYPO VORARLBERG BANK AG,YES,,
HYVEDEMM,UNICREDIT BANK AG,GERMANY,HYVEDEMM,Unicredit S.p.A.,YES,YES,YES
HYVEGB2L,UNICREDIT BANK AG,UNITED KINGDOM,HYVEGB2L,Unicredit S.p.A.,YES,,
HYVEUS33,UNICREDIT BANK AG,UNITED STATES,HYVEUS33,Unicredit S.p.A.,YES,,
IBAZAZ2X,THE INTERNATIONAL BANK OF AZERBAIJAN OPEN JOINT-STOCK COMPANY,AZERBAIJAN,IBAZAZ2X,THE INTERNATIONAL BANK OF AZERBAIJAN OPEN JOINT-STOCK COMPANY,YES,,
IBBKIDJA,PT BANK MAYBANK INDONESIA TBK,INDONESIA,IBBKIDJA,MALAYAN BANKING BERHAD (MAYBANK),YES,,
IBKLINBB,IDBI BANK LIMITED,INDIA,IBKLINBB,IDBI BANK LIMITED,YES,,
IBKOCNBT,INDUSTRIAL BANK OF KOREA (CHINA) LIMITED,CHINA,IBKOCNBT,INDUSTRIAL BANK OF KOREA,YES,,YES
IBKOGB2L,INDUSTRIAL BANK OF KOREA,UNITED KINGDOM,IBKOGB2L,INDUSTRIAL BANK OF KOREA,YES,,
IBKOHKHH,"INDUSTRIAL BANK OF KOREA, HONG KONG BRANCH",HONG KONG,IBKOHKHH,INDUSTRIAL BANK OF KOREA,YES,,
IBKOJPJT,"INDUSTRIAL BANK OF KOREA, TOKYO BRANCH",JAPAN,IBKOJPJT,INDUSTRIAL BANK OF KOREA,YES,,
IBKOKRSE,INDUSTRIAL BANK OF KOREA,"KOREA, REPUBLIC OF",IBKOKRSE,INDUSTRIAL BANK OF KOREA,YES,,
IBKOUS33,"INDUSTRIAL BANK OF KOREA, NEW YORK BRANCH",UNITED STATES,IBKOUS33,INDUSTRIAL BANK OF KOREA,YES,,
IBKOVNVX,"INDUSTRIAL BANK OF KOREA, HO CHI MINH BRANCH",VIET NAM,IBKOVNVX,INDUSTRIAL BANK OF KOREA,YES,,
IBOQQAQA,DUKHAN BANK,QATAR,BRWAQAQA,DUKHAN BANK,YES,YES,YES
IBOYYESA,INTERNATIONAL BANK OF YEMEN Y.S.C.,YEMEN,IBOYYESA,INTERNATIONAL BANK OF YEMEN Y.S.C.,YES,,YES
ICBCTWTP,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.","TAIWAN, REPUBLIC OF CHINA",ICBCTWTP,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.",YES,,
ICBKAEAD,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA Ltd, DUBAI (DIFC) BRANCH",UNITED ARAB EMIRATES,ICBKAEAD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,,
ICBKARBA,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,ARGENTINA,ICBKARBA,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKAU2S,INDUSTRIAL AND COMMERCIAL BANK OF CHINA SYDNEY BRANCH,AUSTRALIA,ICBKAU2S,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKBEBB,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (EUROPE) S.A.,BELGIUM,ICBKBEBB,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKCHZZ,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD,BEIJING, ZURICH BRANCH",SWITZERLAND,ICBKCHZZ,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,,
ICBKCNBJ,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,CHINA,ICBKCNBJ,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKDEFF,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED FRANKFURT BRANCH,GERMANY,ICBKDEFF,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKESMM,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (EUROPE) S.A. SUCURSAL EN ESPANA,SPAIN,ICBKESMM,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,,
ICBKFRPP,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (EUROPE) S.A. PARIS BRANCH,FRANCE,ICBKFRPP,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,,
ICBKGB2L,ICBC (LONDON) PLC,UNITED KINGDOM,ICBKGB2L,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKGB3L,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED LONDON BRANCH,UNITED KINGDOM,ICBKGB3L,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKITMM,INDUSTRIAL AND COMMERCIAL BANK OF CHINA EUROPE S.A.,ITALY,ICBKITMM,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,,
ICBKKHPP,BRANCH OF INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED AKA ICBC LIMITED PHNOM PENH BRANCH,CAMBODIA,ICBKKHPP,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKKRSE,INDUSTRIAL AND COMMERCIAL BANK OF CHINA SEOUL BRANCH,"KOREA, REPUBLIC OF",ICBKKRSE,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKKZKX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,KAZAKHSTAN,ICBKKZKX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,,
ICBKMOMX,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, MACAU BRANCH",MACAO,ICBKMOMX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKMYKL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (MALAYSIA) BERHAD.,MALAYSIA,ICBKMYKL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKNL2A,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (EUROPE) S.A.,NETHERLANDS,ICBKNL2A,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKPKKA,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, KARACHI BRANCH",PAKISTAN,ICBKPKKA,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKRUMM,BANK ICBC (JOINT STOCK COMPANY),RUSSIAN FEDERATION,ICBKRUMM,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKSGSG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,SINGAPORE,ICBKSGSG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKTRIS,ICBC TURKEY BANK A.S. (FORMERLY TEKSTIL BANKASI A.S),TURKEY,ICBKTRIS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,,
ICBKUS33,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,UNITED STATES,ICBKUS33,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBKVNVN,ICBC HANOI BRANCH,VIET NAM,ICBKVNVN,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,YES,YES,YES
ICBVVNVX,VIETNAM JOINT STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VIET NAM,ICBVVNVX,VIETNAM JOINT STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,YES,,
ICICDEFF,"ICICI BANK UK PLC, GERMANY BRANCH",GERMANY,ICICDEFF,ICICI BANK LIMITED,YES,,
ICICGB2L,ICICI BANK UK PLC,UNITED KINGDOM,ICICGB2L,ICICI BANK LIMITED,YES,,
ICICINBB,ICICI BANK LIMITED,INDIA,ICICINBB,ICICI BANK LIMITED,YES,YES,YES
ICICSGSG,ICICI BANK LIMITED,SINGAPORE,ICICSGSG,ICICI BANK LIMITED,YES,,
ICLRCMCX,BANQUE INTERNATIONALE DU CAMEROUN POUR L'EPARGNE ET LE CREDIT,CAMEROON,ICLRCMCX,BANQUE CENTRALE POPULAIRE,YES,,
ICRAITRR,ICCREA BANCA SPA - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO,ITALY,ICRAITRR,ICCREA BANCA SPA - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO,YES,YES,YES
IDBLILIT,ISRAEL DISCOUNT BANK LTD,ISRAEL,IDBLILIT,ISRAEL DISCOUNT BANK LTD,YES,,
IGLUGB2L,STONEX FINANCIAL LTD,UNITED KINGDOM,IGLUGB2L,STONEX FINANCIAL LTD,YES,,
IIBAJOAM,ISLAMIC INTERNATIONAL ARAB BANK PLC,JORDAN,IIBAJOAM,ARAB BANK PLC,YES,,
IKBZBA2X,ASA BANKA D.D. SARAJEVO,BOSNIA AND HERZEGOVINA,IKBZBA2X,ASA BANKA D.D. SARAJEVO,YES,,
IMBKRUMM,UNICREDIT BANK AO,RUSSIAN FEDERATION,IMBKRUMM,Unicredit S.p.A.,YES,YES,YES
IMRWRWRW,I AND M BANK (RWANDA) PLC,RWANDA,IMRWRWRW,I&M BANK LTD,YES,,
INBUMXMM,"BANCO INBURSA S.A.,INSTITUCION DE BANCAMULTIPLEGRUPOFINANCIEROINBURSA",MEXICO,INBUMXMM,"BANCO INBURSA S.A.,INSTITUCION DE BANCAMULTIPLEGRUPOFINANCIEROINBURSA",YES,,YES
INDBINBB,INDUSIND BANK LIMITED,INDIA,INDBINBB,INDUSIND BANK LIMITED,YES,,
INDLGTGC,BANCO INDUSTRIAL S.A.,GUATEMALA,INDLGTGC,BANCO INDUSTRIAL S.A.,YES,,YES
INGBCNSH,ING BANK N.V.,CHINA,INGBCNSH,ING BANK N.V.,YES,,
INGBDEFF,ING-DIBA AG,GERMANY,INGDDEFF,ING BANK N.V.,YES,YES,YES
INGBFRPP,ING BANK N.V,FRANCE,INGBFRPP,ING BANK N.V.,YES,YES,YES
INGBHUHB,ING Bank N.V. Hungary Branch,HUNGARY,INGBHUHB,ING BANK N.V.,YES,,
INGBKRSE,ING BANK N.V SEOUL,"KOREA, REPUBLIC OF",INGBKRSE,ING BANK N.V.,YES,,
INGBNL2A,ING BANK N.V.,NETHERLANDS,INGBNL2A,ING BANK N.V.,YES,YES,YES
INGBPLPW,ING BANK SLASKI SA,POLAND,INGBPLPW,ING BANK N.V.,YES,,
INGBRUMM,ING BANK (EURASIA) JSC,RUSSIAN FEDERATION,INGBRUMM,ING BANK N.V.,YES,YES,
INGBSGSG,ING BANK N.V. SINGAPORE BRANCH,SINGAPORE,INGBSGSG,ING BANK N.V.,YES,,
INGBSKBX,ING BANK N.V. POBOCKA ZAHRANICNEJ BANKY,SLOVAKIA,INGBSKBX,ING BANK N.V.,YES,,
INGBTRIS,ING BANK A.S.,TURKEY,INGBTRIS,ING BANK N.V.,YES,,
INGBUS33,ING CAPITAL MARKETS LLC,UNITED STATES,INGBUS33,ING BANK N.V.,YES,,
INGBUS3N,ING FINANCIAL MARKETS LLC,UNITED STATES,INGBUS3N,ING BANK N.V.,YES,,
INSBMK22,SPARKASSE BANK AD SKOPJE,NORTH MACEDONIA,INSBMK22,STEIERMAERKISCHE BANK UND SPARKASSEN AG,YES,YES,YES
INTAZAJC,INTEMBEKO INVESTMENT ADMINISTRATORS (PTY) LTD,SOUTH AFRICA,INTAZAJC,INTEMBEKO INVESTMENT ADMINISTRATORS (PTY) LTD,YES,,
INTEMXMM,INTERCAM BANCO SA INSTITUCION DE BANCA MULTIPLE INTERCAM GRUPO FINANCIERO,MEXICO,INTEMXMM,INTERCAM BANCO SA INSTITUCION DE BANCA MULTIPLE INTERCAM GRUPO FINANCIERO,YES,,
IRTYKZKA,FORTEBANK JSC,KAZAKHSTAN,IRTYKZKA,FORTEBANK JSC,YES,,
